rank,title,year,director,borninfo,birthday,birthplace,deathinfo,death_date,age_died,death_place,birthdate,birthyear,age_at_release,country,death_year,released_before_passing,alive
1,Shôshanku no sora ni,1994,Frank Darabont,"Born: January 28, 1959 in Montbéliard, Doubs, France","January 28, 1959","Montbéliard, Doubs, France",NA,NA,NA,NA,1959-01-28,1959,35,France,NA,NA,TRUE
2,Goddofâzâ,1972,Francis Ford Coppola,"Born: April 7, 1939 in Detroit, Michigan, USA","April 7, 1939","Detroit, Michigan, USA",NA,NA,NA,NA,1939-04-07,1939,33,USA,NA,NA,TRUE
3,The Godfather: Part II,1974,Francis Ford Coppola,"Born: April 7, 1939 in Detroit, Michigan, USA","April 7, 1939","Detroit, Michigan, USA",NA,NA,NA,NA,1939-04-07,1939,35,USA,NA,NA,TRUE
4,Dâku naito,2008,Christopher Nolan,"Born: July 30, 1970 in London, England, UK","July 30, 1970","London, England, UK",NA,NA,NA,NA,1970-07-30,1970,38,UK,NA,NA,TRUE
5,12 Angry Men,1957,Sidney Lumet,"Born: June 25, 1924 in Philadelphia, Pennsylvania, USA","June 25, 1924","Philadelphia, Pennsylvania, USA","Died: April 9, 2011 (age 86) in Manhattan, New York City, New York, USA",2011-04-09,86,"Manhattan, New York City, New York, USA",1924-06-25,1924,33,USA,2011,54,FALSE
6,Schindler's List,1993,Steven Spielberg,"Born: December 18, 1946 in Cincinnati, Ohio, USA","December 18, 1946","Cincinnati, Ohio, USA",NA,NA,NA,NA,1946-12-18,1946,47,USA,NA,NA,TRUE
7,Rôdo obu za ringu - Ô no kikan,2003,Peter Jackson,"Born: October 31, 1961 in Pukerua Bay, North Island, New Zealand","October 31, 1961","Pukerua Bay, North Island, New Zealand",NA,NA,NA,NA,1961-10-31,1961,42,New Zealand,NA,NA,TRUE
8,Pulp Fiction,1994,Quentin Tarantino,"Born: March 27, 1963 in Knoxville, Tennessee, USA","March 27, 1963","Knoxville, Tennessee, USA",NA,NA,NA,NA,1963-03-27,1963,31,USA,NA,NA,TRUE
9,Zoku yuuhi no ganman,1966,Sergio Leone,"Born: January 3, 1929 in Rome, Lazio, Italy","January 3, 1929","Rome, Lazio, Italy","Died: April 30, 1989 (age 60) in Rome, Lazio, Italy",1989-04-30,60,"Rome, Lazio, Italy",1929-01-03,1929,37,Italy,1989,23,FALSE
10,Rôdo obu za ringu,2001,Peter Jackson,"Born: October 31, 1961 in Pukerua Bay, North Island, New Zealand","October 31, 1961","Pukerua Bay, North Island, New Zealand",NA,NA,NA,NA,1961-10-31,1961,40,New Zealand,NA,NA,TRUE
11,Fight Club,1999,David Fincher,"Born: August 28, 1962 in Denver, Colorado, USA","August 28, 1962","Denver, Colorado, USA",NA,NA,NA,NA,1962-08-28,1962,37,USA,NA,NA,TRUE
12,Forrest Gump,1994,Robert Zemeckis,"Born: May 14, 1951 in Chicago, Illinois, USA","May 14, 1951","Chicago, Illinois, USA",NA,NA,NA,NA,1951-05-14,1951,43,USA,NA,NA,TRUE
13,Inception,2010,Christopher Nolan,"Born: July 30, 1970 in London, England, UK","July 30, 1970","London, England, UK",NA,NA,NA,NA,1970-07-30,1970,40,UK,NA,NA,TRUE
14,ロード・オブ・ザ・リング 二つの塔,2002,Peter Jackson,"Born: October 31, 1961 in Pukerua Bay, North Island, New Zealand","October 31, 1961","Pukerua Bay, North Island, New Zealand",NA,NA,NA,NA,1961-10-31,1961,41,New Zealand,NA,NA,TRUE
15,Sutâ wôzu episoddo 5: Teikoku no gyakushû,1980,Irvin Kershner,"Born: April 29, 1923 in Philadelphia, Pennsylvania, USA","April 29, 1923","Philadelphia, Pennsylvania, USA","Died: November 27, 2010 (age 87) in Los Angeles, California, USA",2010-11-27,87,"Los Angeles, California, USA",1923-04-29,1923,57,USA,2010,30,FALSE
16,Matorikkusu,1999,Lana Wachowski,"Born: June 21, 1965 in Chicago, Illinois, USA","June 21, 1965","Chicago, Illinois, USA",NA,NA,NA,NA,1965-06-21,1965,34,USA,NA,NA,TRUE
17,Guddoferozu,1990,Martin Scorsese,"Born: November 17, 1942 in Queens, New York City, New York, USA","November 17, 1942","Queens, New York City, New York, USA",NA,NA,NA,NA,1942-11-17,1942,48,USA,NA,NA,TRUE
18,Kakkou no su no ue de,1975,Milos Forman,"Born: February 18, 1932 in Cáslav, Czechoslovakia [now Czech Republic]","February 18, 1932","Cáslav, Czechoslovakia [now Czech Republic]","Died: April 13, 2018 (age 86) in Danbury, Connecticut, USA",2018-04-13,86,"Danbury, Connecticut, USA",1932-02-18,1932,43,Czech Republic,2018,43,FALSE
19,Shichinin no samurai,1954,Akira Kurosawa,"Born: March 23, 1910 in Tokyo, Japan","March 23, 1910","Tokyo, Japan","Died: September 6, 1998 (age 88) in Setagaya, Tokyo, Japan",1998-09-06,88,"Setagaya, Tokyo, Japan",1910-03-23,1910,44,Japan,1998,44,FALSE
20,Sebun,1995,David Fincher,"Born: August 28, 1962 in Denver, Colorado, USA","August 28, 1962","Denver, Colorado, USA",NA,NA,NA,NA,1962-08-28,1962,33,USA,NA,NA,TRUE
21,Hitsujitachi no Chinmoku,1991,Jonathan Demme,"Born: February 22, 1944 in Baldwin, Long Island, New York, USA","February 22, 1944","Baldwin, Long Island, New York, USA","Died: April 26, 2017 (age 73) in Manhattan, New York City, New York, USA",2017-04-26,73,"Manhattan, New York City, New York, USA",1944-02-22,1944,47,USA,2017,26,FALSE
22,Cidade de Deus,2002,Fernando Meirelles,"Born: November 9, 1955 in São Paulo, São Paulo, Brazil","November 9, 1955","São Paulo, São Paulo, Brazil",NA,NA,NA,NA,1955-11-09,1955,47,Brazil,NA,NA,TRUE
23,La vita è bella,1997,Roberto Benigni,"Born: October 27, 1952 in Manciano La Misericordia, Castiglion Fiorentino, Tuscany, Italy","October 27, 1952","Manciano La Misericordia, Castiglion Fiorentino, Tuscany, Italy",NA,NA,NA,NA,1952-10-27,1952,45,Italy,NA,NA,TRUE
24,"Subarashiki kana, jinsei!",1946,Frank Capra,"Born: May 18, 1897 in Bisacquino, Sicily, Italy","May 18, 1897","Bisacquino, Sicily, Italy","Died: September 3, 1991 (age 94) in La Quinta, California, USA",1991-09-03,94,"La Quinta, California, USA",1897-05-18,1897,49,Italy,1991,45,FALSE
25,Puraibeto Raian,1998,Steven Spielberg,"Born: December 18, 1946 in Cincinnati, Ohio, USA","December 18, 1946","Cincinnati, Ohio, USA",NA,NA,NA,NA,1946-12-18,1946,52,USA,NA,NA,TRUE
26,Star Wars,1977,George Lucas,"Born: May 14, 1944 in Modesto, California, USA","May 14, 1944","Modesto, California, USA",NA,NA,NA,NA,1944-05-14,1944,33,USA,NA,NA,TRUE
27,Interstellar,2014,Christopher Nolan,"Born: July 30, 1970 in London, England, UK","July 30, 1970","London, England, UK",NA,NA,NA,NA,1970-07-30,1970,44,UK,NA,NA,TRUE
28,Sen to Chihiro no kamikakushi,2001,Hayao Miyazaki,"Born: January 5, 1941 in Tokyo, Japan","January 5, 1941","Tokyo, Japan",NA,NA,NA,NA,1941-01-05,1941,60,Japan,NA,NA,TRUE
29,Gurîn Mairu,1999,Frank Darabont,"Born: January 28, 1959 in Montbéliard, Doubs, France","January 28, 1959","Montbéliard, Doubs, France",NA,NA,NA,NA,1959-01-28,1959,40,France,NA,NA,TRUE
30,Parasaito: Hanchika no kazoku,2019,Bong Joon Ho,"Born: September 14, 1969 in Daegu, South Korea","September 14, 1969","Daegu, South Korea",NA,NA,NA,NA,1969-09-14,1969,50,South Korea,NA,NA,TRUE
31,Léon,1994,Luc Besson,"Born: March 18, 1959 in Paris, France","March 18, 1959","Paris, France",NA,NA,NA,NA,1959-03-18,1959,35,France,NA,NA,TRUE
32,Seppuku,1962,Masaki Kobayashi,"Born: February 14, 1916 in Hokkaido, Japan","February 14, 1916","Hokkaido, Japan","Died: October 4, 1996 (age 80) in Tokyo, Japan",1996-10-04,80,"Tokyo, Japan",1916-02-14,1916,46,Japan,1996,34,FALSE
33,Senjô no pianisuto,2002,Roman Polanski,"Born: August 18, 1933 in Paris, France","August 18, 1933","Paris, France",NA,NA,NA,NA,1933-08-18,1933,69,France,NA,NA,TRUE
34,Terminator 2: Judgment Day,1991,James Cameron,"Born: August 16, 1954 in Kapuskasing, Ontario, Canada","August 16, 1954","Kapuskasing, Ontario, Canada",NA,NA,NA,NA,1954-08-16,1954,37,Canada,NA,NA,TRUE
35,Back to the Future,1985,Robert Zemeckis,"Born: May 14, 1951 in Chicago, Illinois, USA","May 14, 1951","Chicago, Illinois, USA",NA,NA,NA,NA,1951-05-14,1951,34,USA,NA,NA,TRUE
36,The Usual Suspects,1995,Bryan Singer,"Born: September 17, 1965 in New York City, New York, USA","September 17, 1965","New York City, New York, USA",NA,NA,NA,NA,1965-09-17,1965,30,USA,NA,NA,TRUE
37,Psycho,1960,Alfred Hitchcock,"Born: August 13, 1899 in Leytonstone, London, England, UK","August 13, 1899","Leytonstone, London, England, UK","Died: April 29, 1980 (age 80) in Bel Air, Los Angeles, California, USA",1980-04-29,80,"Bel Air, Los Angeles, California, USA",1899-08-13,1899,61,UK,1980,20,FALSE
38,The Lion King,1994,Roger Allers,"Born: June 29, 1949 in Rye, New York, USA","June 29, 1949","Rye, New York, USA",NA,NA,NA,NA,1949-06-29,1949,45,USA,NA,NA,TRUE
39,Modan Taimusu,1936,Charles Chaplin,"Born: April 16, 1889 in Walworth, London, England, UK","April 16, 1889","Walworth, London, England, UK","Died: December 25, 1977 (age 88) in Vevey, Vaud, Switzerland",1977-12-25,88,"Vevey, Vaud, Switzerland",1889-04-16,1889,47,UK,1977,41,FALSE
40,Amerikan Hisutori X,1998,Tony Kaye,"Born: 1952 in London, England, UK",1952,"London, England, UK",NA,NA,NA,NA,NA,1952,46,UK,NA,NA,TRUE
41,Hotaru no haka,1988,Isao Takahata,"Born: October 29, 1935 in Ise, Japan","October 29, 1935","Ise, Japan","Died: April 5, 2018 (age 82) in Tokyo, Japan",2018-04-05,82,"Tokyo, Japan",1935-10-29,1935,53,Japan,2018,30,FALSE
42,Machi no hi,1931,Charles Chaplin,"Born: April 16, 1889 in Walworth, London, England, UK","April 16, 1889","Walworth, London, England, UK","Died: December 25, 1977 (age 88) in Vevey, Vaud, Switzerland",1977-12-25,88,"Vevey, Vaud, Switzerland",1889-04-16,1889,42,UK,1977,46,FALSE
43,Sesshon,2014,Damien Chazelle,"Born: January 19, 1985 in Providence, Rhode Island, USA","January 19, 1985","Providence, Rhode Island, USA",NA,NA,NA,NA,1985-01-19,1985,29,USA,NA,NA,TRUE
44,グラディエーター,2000,Ridley Scott,"Born: November 30, 1937 in South Shields, County Durham, England, UK","November 30, 1937","South Shields, County Durham, England, UK",NA,NA,NA,NA,1937-11-30,1937,63,UK,NA,NA,TRUE
45,Dipâteddo,2006,Martin Scorsese,"Born: November 17, 1942 in Queens, New York City, New York, USA","November 17, 1942","Queens, New York City, New York, USA",NA,NA,NA,NA,1942-11-17,1942,64,USA,NA,NA,TRUE
46,Saikyô no futari,2011,Olivier Nakache,"Born: April 15, 1973 in Suresnes, Hauts-de-Seine, France","April 15, 1973","Suresnes, Hauts-de-Seine, France",NA,NA,NA,NA,1973-04-15,1973,38,France,NA,NA,TRUE
47,プレステージ,2006,Christopher Nolan,"Born: July 30, 1970 in London, England, UK","July 30, 1970","London, England, UK",NA,NA,NA,NA,1970-07-30,1970,36,UK,NA,NA,TRUE
48,Kasaburanka,1942,Michael Curtiz,"Born: December 24, 1886 in Budapest, Austria-Hungary [now Hungary]","December 24, 1886","Budapest, Austria-Hungary [now Hungary]","Died: April 10, 1962 (age 75) in Hollywood, Los Angeles, California, USA",1962-04-10,75,"Hollywood, Los Angeles, California, USA",1886-12-24,1886,56,Hungary,1962,20,FALSE
49,ウエスタン,1968,Sergio Leone,"Born: January 3, 1929 in Rome, Lazio, Italy","January 3, 1929","Rome, Lazio, Italy","Died: April 30, 1989 (age 60) in Rome, Lazio, Italy",1989-04-30,60,"Rome, Lazio, Italy",1929-01-03,1929,39,Italy,1989,21,FALSE
50,Uramado,1954,Alfred Hitchcock,"Born: August 13, 1899 in Leytonstone, London, England, UK","August 13, 1899","Leytonstone, London, England, UK","Died: April 29, 1980 (age 80) in Bel Air, Los Angeles, California, USA",1980-04-29,80,"Bel Air, Los Angeles, California, USA",1899-08-13,1899,55,UK,1980,26,FALSE
51,Nyû shinema paradaisu,1988,Giuseppe Tornatore,"Born: May 27, 1956 in Bagheria, Sicily, Italy","May 27, 1956","Bagheria, Sicily, Italy",NA,NA,NA,NA,1956-05-27,1956,32,Italy,NA,NA,TRUE
52,Alien,1979,Ridley Scott,"Born: November 30, 1937 in South Shields, County Durham, England, UK","November 30, 1937","South Shields, County Durham, England, UK",NA,NA,NA,NA,1937-11-30,1937,42,UK,NA,NA,TRUE
53,Jigoku no mokushiroku,1979,Francis Ford Coppola,"Born: April 7, 1939 in Detroit, Michigan, USA","April 7, 1939","Detroit, Michigan, USA",NA,NA,NA,NA,1939-04-07,1939,40,USA,NA,NA,TRUE
54,Memento,2000,Christopher Nolan,"Born: July 30, 1970 in London, England, UK","July 30, 1970","London, England, UK",NA,NA,NA,NA,1970-07-30,1970,30,UK,NA,NA,TRUE
55,Reidâsu/Ushinawareta âku,1981,Steven Spielberg,"Born: December 18, 1946 in Cincinnati, Ohio, USA","December 18, 1946","Cincinnati, Ohio, USA",NA,NA,NA,NA,1946-12-18,1946,35,USA,NA,NA,TRUE
56,Dokusaisha,1940,Charles Chaplin,"Born: April 16, 1889 in Walworth, London, England, UK","April 16, 1889","Walworth, London, England, UK","Died: December 25, 1977 (age 88) in Vevey, Vaud, Switzerland",1977-12-25,88,"Vevey, Vaud, Switzerland",1889-04-16,1889,51,UK,1977,37,FALSE
57,Yoki hito no tame no sonata,2006,Florian Henckel von Donnersmarck,"Born: May 2, 1973 in Cologne, North Rhine-Westphalia, Germany","May 2, 1973","Cologne, North Rhine-Westphalia, Germany",NA,NA,NA,NA,1973-05-02,1973,33,Germany,NA,NA,TRUE
58,Django Tsunagarezaru Mono,2012,Quentin Tarantino,"Born: March 27, 1963 in Knoxville, Tennessee, USA","March 27, 1963","Knoxville, Tennessee, USA",NA,NA,NA,NA,1963-03-27,1963,49,USA,NA,NA,TRUE
59,Totsugeki,1957,Stanley Kubrick,"Born: July 26, 1928 in New York City, New York, USA","July 26, 1928","New York City, New York, USA","Died: March 7, 1999 (age 70) in Harpenden, Hertfordshire, England, UK",1999-03-07,70,"Harpenden, Hertfordshire, England, UK",1928-07-26,1928,29,USA,1999,42,FALSE
60,Sansetto ôdôri,1950,Billy Wilder,"Born: June 22, 1906 in Sucha, Galicia, Austria-Hungary [now Sucha Beskidzka, Malopolskie, Poland]","June 22, 1906","Sucha, Galicia, Austria-Hungary [now Sucha Beskidzka, Malopolskie, Poland]","Died: March 27, 2002 (age 95) in West Los Angeles, California, USA",2002-03-27,95,"West Los Angeles, California, USA",1906-06-22,1906,44,Poland,2002,52,FALSE
61,Wôrî,2008,Andrew Stanton,"Born: December 3, 1965 in Boston, Massachusetts, USA","December 3, 1965","Boston, Massachusetts, USA",NA,NA,NA,NA,1965-12-03,1965,43,USA,NA,NA,TRUE
62,Avengers: Infinity War,2018,Anthony Russo,"Born: February 3, 1970 in Cleveland, Ohio, USA","February 3, 1970","Cleveland, Ohio, USA",NA,NA,NA,NA,1970-02-03,1970,48,USA,NA,NA,TRUE
63,Witness for the Prosecution,1957,Billy Wilder,"Born: June 22, 1906 in Sucha, Galicia, Austria-Hungary [now Sucha Beskidzka, Malopolskie, Poland]","June 22, 1906","Sucha, Galicia, Austria-Hungary [now Sucha Beskidzka, Malopolskie, Poland]","Died: March 27, 2002 (age 95) in West Los Angeles, California, USA",2002-03-27,95,"West Los Angeles, California, USA",1906-06-22,1906,51,Poland,2002,45,FALSE
64,Shining,1980,Stanley Kubrick,"Born: July 26, 1928 in New York City, New York, USA","July 26, 1928","New York City, New York, USA","Died: March 7, 1999 (age 70) in Harpenden, Hertfordshire, England, UK",1999-03-07,70,"Harpenden, Hertfordshire, England, UK",1928-07-26,1928,52,USA,1999,19,FALSE
65,Spider-Man: Into the Spider-Verse,2018,Bob Persichetti,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
66,Hakase no ijô na aijô: Matawa watashi wa ikani shite shinpai suru no wo yamete suibaku wo aisuru you ni natta ka,1964,Stanley Kubrick,"Born: July 26, 1928 in New York City, New York, USA","July 26, 1928","New York City, New York, USA","Died: March 7, 1999 (age 70) in Harpenden, Hertfordshire, England, UK",1999-03-07,70,"Harpenden, Hertfordshire, England, UK",1928-07-26,1928,36,USA,1999,35,FALSE
67,Mononoke-hime,1997,Hayao Miyazaki,"Born: January 5, 1941 in Tokyo, Japan","January 5, 1941","Tokyo, Japan",NA,NA,NA,NA,1941-01-05,1941,56,Japan,NA,NA,TRUE
68,Oldeuboi,2003,Park Chan-Wook,"Born: August 23, 1963 in Seoul, South Korea","August 23, 1963","Seoul, South Korea",NA,NA,NA,NA,1963-08-23,1963,40,South Korea,NA,NA,TRUE
69,Joker,2019,Todd Phillips,"Born: December 20, 1970 in Brooklyn, New York City, New York, USA","December 20, 1970","Brooklyn, New York City, New York, USA",NA,NA,NA,NA,1970-12-20,1970,49,USA,NA,NA,TRUE
70,Kimi no na wa.,2016,Makoto Shinkai,"Born: February 9, 1973 in Koumi, Japan","February 9, 1973","Koumi, Japan",NA,NA,NA,NA,1973-02-09,1973,43,Japan,NA,NA,TRUE
71,Coco,2017,Lee Unkrich,"Born: August 8, 1967 in Cleveland, Ohio, USA","August 8, 1967","Cleveland, Ohio, USA",NA,NA,NA,NA,1967-08-08,1967,50,USA,NA,NA,TRUE
72,Dâku naito raijingu,2012,Christopher Nolan,"Born: July 30, 1970 in London, England, UK","July 30, 1970","London, England, UK",NA,NA,NA,NA,1970-07-30,1970,42,UK,NA,NA,TRUE
73,Eirian 2,1986,James Cameron,"Born: August 16, 1954 in Kapuskasing, Ontario, Canada","August 16, 1954","Kapuskasing, Ontario, Canada",NA,NA,NA,NA,1954-08-16,1954,32,Canada,NA,NA,TRUE
74,Once Upon a Time in America,1984,Sergio Leone,"Born: January 3, 1929 in Rome, Lazio, Italy","January 3, 1929","Rome, Lazio, Italy","Died: April 30, 1989 (age 60) in Rome, Lazio, Italy",1989-04-30,60,"Rome, Lazio, Italy",1929-01-03,1929,55,Italy,1989,5,FALSE
75,Sonzai no nai kodomo-tachi,2018,Nadine Labaki,"Born: February 18, 1974 in Beirut, Lebanon","February 18, 1974","Beirut, Lebanon",NA,NA,NA,NA,1974-02-18,1974,44,Lebanon,NA,NA,TRUE
76,Avengers: Endgame,2019,Anthony Russo,"Born: February 3, 1970 in Cleveland, Ohio, USA","February 3, 1970","Cleveland, Ohio, USA",NA,NA,NA,NA,1970-02-03,1970,49,USA,NA,NA,TRUE
77,U-Bôto,1981,Wolfgang Petersen,"Born: March 14, 1941 in Emden, Germany","March 14, 1941","Emden, Germany",NA,NA,NA,NA,1941-03-14,1941,40,Germany,NA,NA,TRUE
78,Tengoku to jigoku,1963,Akira Kurosawa,"Born: March 23, 1910 in Tokyo, Japan","March 23, 1910","Tokyo, Japan","Died: September 6, 1998 (age 88) in Setagaya, Tokyo, Japan",1998-09-06,88,"Setagaya, Tokyo, Japan",1910-03-23,1910,53,Japan,1998,35,FALSE
79,3 Idiots,2009,Rajkumar Hirani,"Born: November 20, 1962 in Nagpur, Maharashtra, India","November 20, 1962","Nagpur, Maharashtra, India",NA,NA,NA,NA,1962-11-20,1962,47,India,NA,NA,TRUE
80,Toy Story,1995,John Lasseter,"Born: January 12, 1957 in Hollywood, Los Angeles, California, USA","January 12, 1957","Hollywood, Los Angeles, California, USA",NA,NA,NA,NA,1957-01-12,1957,38,USA,NA,NA,TRUE
81,American Beauty,1999,Sam Mendes,"Born: August 1, 1965 in Reading, Berkshire, England, UK","August 1, 1965","Reading, Berkshire, England, UK",NA,NA,NA,NA,1965-08-01,1965,34,UK,NA,NA,TRUE
82,Amadeus,1984,Milos Forman,"Born: February 18, 1932 in Cáslav, Czechoslovakia [now Czech Republic]","February 18, 1932","Cáslav, Czechoslovakia [now Czech Republic]","Died: April 13, 2018 (age 86) in Danbury, Connecticut, USA",2018-04-13,86,"Danbury, Connecticut, USA",1932-02-18,1932,52,Czech Republic,2018,34,FALSE
83,Braveheart,1995,Mel Gibson,"Born: January 3, 1956 in Peekskill, New York, USA","January 3, 1956","Peekskill, New York, USA",NA,NA,NA,NA,1956-01-03,1956,39,USA,NA,NA,TRUE
84,Hamilton,2020,Thomas Kail,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
85,Inglourious Basterds,2009,Quentin Tarantino,"Born: March 27, 1963 in Knoxville, Tennessee, USA","March 27, 1963","Knoxville, Tennessee, USA",NA,NA,NA,NA,1963-03-27,1963,46,USA,NA,NA,TRUE
86,Good Will Hunting,1997,Gus Van Sant,"Born: July 24, 1952 in Louisville, Kentucky, USA","July 24, 1952","Louisville, Kentucky, USA",NA,NA,NA,NA,1952-07-24,1952,45,USA,NA,NA,TRUE
