headline,date,text
Accelerate action to prevent and control non-communicable diseases: WHO,2021-09-10,"SEAR/PR/1765Kathmandu - The World Health Organization has urged Member countries in South-East Asia Region to accelerate efforts to prevent and control non-communicable diseases which account for two-third of all deaths in the Region while also increasing the risk of severe COVID-19.“The COVID-19 pandemic has further exposed the vulnerabilities of people living with non-communicable diseases. In addition to the increased risk of severe disease and death, disruption in essential services threatens to slow down progress and even reverse the gains in controlling NCDs,” said Dr Poonam Khetrapal Singh, Regional Director, WHO South-East Asia Region, at the Regional Committee meeting.Prevention and control of non-communicable diseases (NCDs) such as cardiovascular diseases, cancers, chronic respiratory disease, diabetes, hypertension etc, is one of the flagship priorities of Dr Khetrapal Singh. Since 2014 member countries have been making concerted efforts, implementing multi-sectoral plans, providing, and scaling up NCD services at the primary health care level, promoting physical activity, taxing sugary drinks, taking multiple action to control tobacco use, promote mental health, among others. “We need to address NCDs and include them as an integral part of pandemic preparedness and response. This will help establish mechanisms for uninterrupted access to NCD services during emergencies, and reduce risk of serious health complications,” the Regional Director said.In view of the continuing challenges, Member countries discussed extending the Regional Action Plan for Prevention and Control of NCDs to meet SDG 2030 targets.The Member countries also discussed integrated eye care and oral health and developing Regional Action Plans for them. Poor oral health is an important public health concern, with oral cancer being among top five cancers. The Region also has one of the highest prevalence of visual impairment and blindness globally.There is some evidence of decline in the prevalence of blindness and moderate-to-severe visual impairment in the Region between 1990 and 2015; however, prevalence continues to be higher than the global average and coverage for effective cataract surgery remains below target. A situation analysis in 2020 of oral health policies showed some progress but also substantial gaps towards achieving the 2025 goals.Nearly half of the deaths due to NCDs occur prematurely between 30 and 69 years of age. A quarter of the adult population in the Region suffers from hypertension and every twelfth adult has diabetes.The Member countries discussed developing a regional NCD Implementation Roadmap 2022–2030 to provide operational guidance on “how to” sustain gains, accelerate action in areas that need greater emphasis and pilot innovative approaches in the Region to achieve SDG Target 3.4."
"Countries in WHO South-East Asia Region endorse health promoting schools, safe school operations during pandemic",2021-09-13,"SEAR/PR/1766Kathmandu - The Member countries of WHO South-East Asia Region resolved to work towards making ‘every school a health promoting school’, while also committing to safe school operations during the pandemic.“Schools have an important role in promoting healthy lifestyles, life-long healthy behaviors and to nurture human capital for sustainable development of any society. We need a whole-of-government approach to ensure children from all socio-economic background, including those with special needs, benefit from healthy schools,” said Dr Poonam Khetrapal Singh, Regional Director, WHO South-East Asia Region at the Regional Committee meeting.Adopting a resolution at the Regional Committee meeting to revitalize school health and health promoting schools, Member countries expressed concern over school closure during the ongoing pandemic, its impact on learning, growth and health of young children and adolescents.  Member countries also deliberated on the need to ensure safe reopening and operationalization of schools during the ongoing pandemic.  At the five-day meeting 6 – 10 September, the Member countries agreed to develop an integrated Regional Action Plan on viral hepatitis, HIV and sexually transmitted diseases, aligned with WHO’s global and 2030 SDGs targets.Other highlights of the Regional Committee meeting included a declaration signed by Member countries, at a ministerial round table, to take lessons from the pandemic and strengthen health system resilience to ensure health security and achieve universal health coverage and Sustainable Development Goals for health.Nobel Laureate Abhijit Banerjee addressed the ministerial round table, emphasizing on the need to ensure quality of health care services.WHO and Member countries of South-East Asia Region discussed further strengthening of health emergency security systems to be better prepared for future health emergencies.The meeting also discussed enhancing routine immunization coverage along with continuing efforts to rapidly increase COVID-19 vaccination coverage.Accelerating efforts to prevent and control the prevalence of non-communicable diseases, action being taken for measles and rubella elimination and progress on universal health coverage, were some of the other Regional flagship priorities deliberated upon at the meeting.The annual governing body meeting, hosted by Nepal this year, was held virtually for the second consecutive year due to the pandemic.For more information on issues and Regional Committee meeting –https://www.who.int/southeastasia/about/governance/regional-committee/seventy-fourth-session"
End violence against women: WHO,2021-11-26,"By Dr Poonam Khetrapal Singh, WHO Regional Director for South-East Asia One in three experience physical and/or sexual violence in her lifetime, shows WHO’s new estimates, launched in March 2021. Most of this occurs as intimate partner violence. Estimates suggest the South-East Asia Region ranks second highest, at around 33%. Such violence has serious health impacts, both immediate and long term, including injuries, sexually transmitted infections, HIV and unplanned pregnancies as well as mental health problems. These place violence against women among today’s priority public health issues.The WHO South-East Asia Region joins activists and partners around the world in marking the 16 Days of Activism against Gender-Based Violence. The annual campaign aims to strengthen awareness and action to end violence against women. On its 30th anniversary of this annual campaign, we join the call: “Orange the World: END VIOLENCE AGAINST WOMEN NOW!” Such violence only tends to increase during emergencies and epidemics, resulting in higher risks to the health and safety of women and girls. Evidence suggests that violence against women has increased during the ongoing COVID-19 pandemic. The exacerbation of violence against women can be regarded as “the invisible pandemic” accompanying the COVID-19 pandemic. This is so for many reasons—limitations on movement keep women isolated from support and in close proximity with their perpetrators, often alongside increased economic and psychological stress. Women have been disproportionately affected by loss of livelihoods, increasing their economic vulnerability and dependence, and by school closures. Their unpaid work burdens have increased dramatically. This increased vulnerability comes at a time when the pandemic has disrupted social protection services, such as hotlines, shelters and legal aid—and disrupted vital sexual and reproductive health services, often the first point of contact for survivors of violence.The health sector is a critical part of a multisectoral strategy to prevent and respond to violence against women.First, health policymakers and managers must strengthen the capacity of the health system and providers and ensure  continuity, adequate resourcing and appropriately adapted delivery of services for survivors as part of essential health services. Health facilities should identify information about locally available services for survivors (e.g., hotlines, shelters, rape crisis centers, counselling), including opening hours, contact details and whether these can be offered remotely, and establish referral links. Health providers, once aware of the issue and its implications, should offer medical treatment as well as first line support, such as empathetic listening, asking about needs, and connecting survivors to support.Second, the health sector has a role to play, with other sectors and stakeholders, in preventing violence against women and girls. Prevention is a continuum. Most primary prevention strategies can be implemented outside the health sector – in communities, in schools, through mass media. But secondary and tertiary prevention take place after women have experienced or are experiencing violence. Such women may seek health care, even if they do not disclose the violence. Here is where health care providers have a key role to play. If health-care providers are alert to identifying such women early – in early stages of the violence or before it becomes very severe – and offer appropriate care and responses, then they could prevent or reduce recurrence of such violence. Health care providers can also incorporate messages about prevention in health promotion activities. Third, the health sector has a role to play in advocating for, developing and implementing evidence-informed policies and strategies for gender-based violence prevention and response. More and better data are needed, and these must be collected in ethical and safe ways and consistent with survivor-centred principles.Community members can also help increase awareness, stay in touch with survivors in safe ways, and discreetly offer information and support.WHO plays a key role in bringing attention to violence against women and girls as a public health and gender equality issue, including in humanitarian settings, by: building the evidence; developing guidelines; encouraging political will and accountability and strengthening country capacity of health systems and providers. WHO has resources for women survivors of violence, people who are concerned that someone they know is experiencing violence, and for those working across the healthcare system and in humanitarian settings.This year, WHO again joins its partners to build gender-responsive health and social protective systems and for the elimination of violence against women. During the 16 Days, WHO and UNFPA’s regional office for Asia and the Pacific are training health facility managers and policy-makers in three countries, namely, Bhutan, the Maldives and Sri Lanka, in strengthening health sector capacity to respond to VAW, through a series of 6 online workshops. On 30 November, WHO, along with UN Women’s and UNFPA’s Regional Offices for Asia and the Pacific, will host an online event to disseminate the updated prevalence estimates on intimate partner violence and sexual violence in the Region. The event will also discuss how better data could be used to strengthen policies and actions to eliminate all forms of violence against women and girls.The 16 Days campaign, which ends on Human Rights Day (10 December), reminds us that women’s rights are human rights and we should do all we can to respect, protect and fulfil these rights. Let’s resolve to redouble our efforts to prevent and respond to the pandemic of violence against women—and keep women and girls everywhere safe."
"Health and Education Ministers, heads of partner agencies commit to 
health promoting schools for all in WHO South-East Asia Region",2021-10-12,"SEAR/PR/1769New Delhi - To build back better from the ongoing pandemic, health and education ministers of countries in WHO South-East Asia Region, and heads of UN agencies today committed to Health Promoting Schools for healthier generations and societies, and for schools to remain operational during public health emergencies and be resilient and well prepared for future emergencies.“The pandemic is a strong reminder of the importance of maintaining strong education systems that support the interlinked objectives of education and health for all children and adolescents leaving no one behind, in normal circumstances as well as during emergency situations like this pandemic,” said Dr Poonam Khetrapal Singh, Regional Director WHO South-East Asia, who convened a meeting of heads of partner agencies UNESCO, UNFPA, UNICEF and WFP, and health and education ministers from the Region on Health Promoting Schools. At the three-day inter-ministerial meeting that began this morning, health and education ministers from countries in WHO South-East Asia Region adopted a ‘Call to Action’ to scale up the implementation of comprehensive school health programmes that promote the health and wellbeing of children and adolescents.As a prelude to the ministerial meeting, the Regional leadership of UNESCO, UNFPA, UNICEF, WFP, WHO held a Summit and deliberated on strengthening school health programmes in the Region and signed a ‘Joint UN statement on strengthening education, school health, nutrition and well-being’ to collectively advocate for a healthier generation and provide harmonized joint technical support to countries. The Health Promoting School approach aims at advancing health, nutrition, mental health and the overall wellbeing of school-age children and adolescents, teachers and other staff members. As children and adolescents spend most of their formative years in schools, promoting healthy behavior from early childhood through the school setting will benefit their immediate and later health in their adult life, as well as the health and wellbeing of their families and wider communities.“The pandemic has exacerbated inequities and is disproportionately affecting the most marginalized and disadvantaged children in the region. Children are learning less and numerous health and nutrition services that were once provided from schools have stopped. School closures and isolation have taken a severe toll on children’s mental health and is exposing them to exploitation and harm. We must act urgently to safely reintroduce children back to school while making sure learning continues uninterrupted for children everywhere,” said George Laryea-Adjei, UNICEF Regional Director for South Asia.With the pandemic and prolonged school closures significantly impacting education, health, and nutrition, the Member countries and partners discussed prioritizing reopening of schools, where possible, and their safe operations and preparedness for future outbreaks. “‘Building forward better’ from COVID-19, and pursuing a mission to recover education, requires us to rethink how we deliver quality and inclusive education to all children and adolescents in the Asia-Pacific region. Among other things, this necessitates urgent investment in school health and nutrition programmes and creating the overall conditions for learners to lead healthy lives,” said Shigeru Aoyagi, Director, UNESCO Asia and Pacific Regional Bureau for Education.Adequate public health and social measures should be ensured while reopening schools such as wearing of masks, physical distancing, provisions of soap and running water to facilitate hand washing and use of open and well-ventilated spaces.  Measures should be in place to immediately control any outbreak in the school along with long-term preparedness plan to deal with future emergencies.Member countries and partner agencies discussed measures to enhance collaboration between health, education, and other relevant ministries, local governments and stakeholders including adolescents to ensure implementation of the Health Promoting Schools initiative.“For many of the millions of students across the Asia region who receive school meals, it’s often the most substantial and nourishing meal they have each day,” said John Aylieff, WFP Regional Director for Asia and the Pacific. “WFP welcomes the renewed commitment of countries in the region to give their children access to the nutrition they need to grow, mentally and physically. We have an opportunity to strengthen our school systems so that no child is forced to drop out of school because of hunger or illness again.”The initiative also supports the immediate need to continue nutrition and health services in schools, foster youth engagement for safe reopening and safe operations of schools and deliver an integrated school curriculum including adolescent sexual and reproductive health for enhanced health literacy and life skills.  “As children traverse the journey from childhood to adolescence, they must have a conducive environment in schools which support them to make informed choices on life-changing matters, including some of the most personal issues in their lives. When young people are equipped with skills to make informed decisions and exercise their rights, they are able to realize their fullest potential and contribute to society meaningfully as responsible adults”, said Björn Andersson, Regional Director of UNFPA Asia and the Pacific. The global standards for health promoting schools and its implementation were developed collaboratively by WHO, UNESCO, and expert groups to support health and education as a community-centered approach. WHO and UNESCO launched a new initiative “Making Every School a Health Promoting School” on 22 June 2021 led by the Director-General of WHO and UNESCO.The Health Promoting Schools initiative is expected to serve over 2.3 billion school-age children and 362 million adolescents (10–19 years) in the WHO South-East Asia Region and will contribute to the achievement of the Sustainable Development Goals in the fields of education and health."
"Health Ministers commit to renew, accelerate efforts to end TB in South-East Asia",2021-10-26,"SEAR/PR/1770New Delhi - The Minsters of Health of countries in WHO South-East Asia Region today committed to renew and accelerate efforts to end tuberculosis, in view of the pandemic disrupting services and leading to increase in TB cases in the already high-burden Region.  “Despite being a preventable and treatable, TB kills more than a million people every year, almost half of them in the WHO South East-Asia Region. We must intensify effort towards ending TB,” said Dr Tedros Adhanom, Director-General, WHO, addressing a High-Level Meeting for Renewed TB Response.Inaugurating the meeting, Dr Poonam Khetrapal Singh, Regional Director, WHO South-East Asia Region, said, “Immediate steps are needed to scale-up preventive, diagnostic and treatment services for TB, and significantly bolster social protection measures while specifically addressing undernutrition among the vulnerable populations.” At the day-long meeting held virtually, the Ministers of Health signed on a ‘Ministerial Statement of Commitment’ unanimously committing to actualize and intensify essential interventions. The meeting was organized by ministries of health of India, Indonesia, and Nepal and WHO South-East Asia Regional Office. The Ministers committed to multi-sectoral and whole of society approach to end TB with national programs led by the highest possible political level, and closely monitored for targets.  They agreed to increase budgetary and human resource allocations including upfront investments required to catch-up on lost ground during the COVID-19 pandemic. It is estimated that US$ 3 billion may be needed annually to implement comprehensive set of interventions required to end TB in the Region.The Ministerial statement called for ensuring the highest attainable standards of rights-based, stigma-free, quality-assured and people-centric services. It emphasized that preventive, diagnostic, treatment, rehabilitative and palliative care, should be accessible to all including migrants, prisoners, children, the aged and other high-risk populations such as people with TB/HIV co-infections.The statement called for increasing outreach of care by strengthening services at all possible health centers and use of innovative care and delivery approaches such as digital health and efficient use of technology to reach the unreached.The Ministers of Health committed to mainstream social and financial protection along with TB care services. Poverty and undernutrition are among the biggest contributor to TB disease. Systematic provision of socioeconomic support, adapted to country context, to the patient and family are essential and more relevant in the COVID-19 era, the statement said.It called for social support to TB patients and their families from the time of development of symptoms, to diagnosis till the successful treatment completion and in some case beyond treatment to address the sequelae, to achieve the goal of eliminating catastrophic financial losses.The Ministerial statement emphasized on empowerment and engagement of community and civil society representatives in planning, monitoring, organizing and providing for such support to ensure a people-centered response.The Regional Director said, “While we continue to work together to mobilize political and financial commitment, we will also continue to provide rapid and relevant guidance and technical assistance to all countries in the Region.”“Together, let us renew and reinvigorate our commitment to End TB, for a fairer, healthier, more health-secure and sustainable Region and world for all,” Dr Khetrapal Singh said.Representatives of partner agencies – Global Fund, Stop TB Partnership, JICA, ADB, World Bank, US Embassy, among others, participated in the meeting.TB and WHO South-East Asia Region –Despite being a preventable and curable disease, TB is the world’s top infectious killer.The WHO South-East Asia Region, home to a quarter of the world's population, bears 43% of the global TB burden and one third of the global burden of drug resistant TB.Hence, in 2017 Regional Director Dr Poonam Khetrapal Singh  announced ‘Accelerated efforts to end TB’ as a regional flagship. At a high-level meeting, Ministers of Health and WHO adopted a ‘Call to Action’ committing to more resources and action to end the disease.In 2018, the Region renewed its commitment to further intensify efforts and ensure rapid and concrete progress to end TB by 2030.With concerted efforts and highest-level commitment, progress was being made to trace and treat the affected to curtail the TB epidemic. Notification of TB cases increased to ~3.6 million cases in 2019 from ~2.6 million cases in 2015. As a result, the total treatment coverage increased by about 30%.  The treatment success rate among new drug-sensitive TB (DS-TB) patients increased from 79% among the 2014 cohort to 84% for the 2018 cohort.  Bangladesh, Myanmar and Thailand were on track to achieve the 2020 End TB milestones for reduction in mortality while Myanmar was also on track to reach the milestone for reduction in incidence rate.However, the pandemic reversed the progress by disrupting access to health services and exacerbating social factors like poverty and undernutrition. Over 4.3 million TB cases are estimated to have emerged in 2020 with the region accounting for 43% of all new TB cases globally."
"Health Ministers from WHO South-East Asia Region to discuss pandemic, rebuilding essential health services for UHC",2021-09-03,"SEAR/PR/1760New Delhi/Kathmandu:  The ongoing pandemic and measures to ‘build back better’ essential health services to achieve universal health coverage are among the key issues that health ministers of Member countries of WHO South-East Asia Region will deliberate upon next week.The Seventy Fourth Regional Committee Session of WHO South-East Asia, the annual governing body meeting of WHO in the Region, is being hosted by Nepal from 6 to 10 September.The meeting will be attended by WHO Director-General Dr Tedros Adhanom Ghebreyesus, Regional Director Dr Poonam Khetrapal Singh, Health Ministers and senior health officials of Member countries of the Region, UN Agencies, partners, donors, and civil society representatives.Strengthening public health emergency preparedness and response, accelerating progress for prevention and control of non-communicable diseases, and ending viral hepatitis, HIV and STI are among other key issues to be discussed at the annual meeting which is being held virtually for the second consecutive year in view of the pandemic.Monitoring progress on universal health coverage, revitalizing school-health, and the regional framework for vaccine action plan for vaccine preventable diseases would also be discussed.The meeting will also take stock of the progress being made in the Region on resolutions adopted at previous Regional Committee meetings. Measles and rubella elimination by 2023, improving access to essential medical products, the South-East Asia Regional Health Emergency Fund and strengthening health systems to accelerate delivery of services for non-communicable diseases at the primary health care level, would come up at the meeting.While responding to the ongoing pandemic, countries in the Region are also making efforts around the eight regional flagship priorities - to eliminate measles and rubella by 2023, address noncommunicable diseases through multisectoral policies and plans, accelerate reduction of maternal, neonatal and under-five mortality, advance universal health coverage, reverse antimicrobial resistance, scale-up emergency risk management capacities and eliminate neglected tropical diseases and TB.Home to one-fourth of the global population, the Region continues to sustain the impressive progress made around the priority programs. WHO South-East Asia Region eradicated polio in 2014 and eliminated maternal and neonatal tetanus in 2016. Maldives and Sri Lanka have eliminated both measles and rubella, while Bhutan, DPR Korea and Timor-Leste have achieved measles elimination. Maldives, Sri Lanka and Thailand have eliminated lymphatic filariasis. Nepal and Myanmar have eliminated trachoma. India is yaws-free. Sri Lanka and Maldives have eliminated malaria.  Thailand, Sri Lanka and Maldives have eliminated mother-to-child transmission of HIV and Syphilis. Bangladesh, Bhutan, Nepal and Thailand have controlled Hepatitis B."
