headline,date,text
WHO South-East Asia countries resolve to reorient and strengthen health systems,2021-09-07,"SEAR/PR/1762Kathmandu - Taking lessons from the
ongoing pandemic and emphasizing a once-in-a-century opportunity, countries of
WHO South-East Asia Region today adopted a Ministerial Declaration resolving to
strengthen health system resilience to ensure health security, and achieve
universal health coverage and Sustainable Development Goals for health.“Strong health systems that are primary health care-oriented, and which leave
no one behind, create populations that are healthier, more productive and
financially secure. Resilient health systems are the bedrock of emergency
preparedness and response, and ensure that when acute events occur, essential
health services can be maintained,” said Dr Poonam Khetrapal Singh, Regional
Director, WHO South-East Asia, at a ministerial round table during the ongoing
Seventy-Fourth Regional Committee meeting.Through the Declaration adopted at the ministerial round table, Member countries
committed to provide political leadership and accountability to advance health
security and progress towards universal health coverage and the health-related
SDGs.The Member countries resolved to reorient health systems towards comprehensive
primary health care through increased public investments, as the foundation for
strengthening both public health emergency capabilities and achievement of
universal health coverage.“The pandemic has highlighted the urgency and importance of investment in human
resource for health, especially at the primary health care level, and the need
for adequate supply of affordable, effective, quality and safe medical products
to ensure an effective response to public health emergencies and to build
resilient health systems,” the Regional Director said.The Declaration also commits to closer engagement with and the empowerment of
communities to maintain the delivery of essential health services and public
health programmes during and after the pandemic.To roll-out effective response for at-risk and affected communities, Member
countries agreed to ensure integration of public health emergencies and
disaster risk management strategies, as well as strengthening surveillance and
preparedness capacity at the primary health care level.Member countries additionally resolved to accelerate integration of
noncommunicable diseases including mental health, and other programmes, at
the primary health care level, as well as establishing national quality
standards for primary health care services and ensuring access to quality
health services during the pandemic and recovery phase.The Member countries further agreed to appropriately leverage the potential of
traditional systems of medicine, while optimizing innovations in digital health
technologies.The declaration emphasized the importance of leveraging additional resources
and partnerships, including the important role of WHO, to support the
development of national capacities to address public health emergencies and
ensure the delivery of high-quality health services for all.“Together we are stronger. Together we can build back better essential health
services, for a fairer, healthier and more health-secure future for all,
leaving no one behind,” the Regional Director said."
WHO South-East Asia Regional Committee meeting begins,2021-09-06,"SEAR/PR/1761Kathmandu: The Seventy Fourth Regional Committee meeting of WHO South-East Asia Region, began today with health leaders calling for greater commitment to build resilient health systems and to achieve universal health coverage.“This Session is convened to take important decisions on improving the health status of the people in this Region at a time our health systems are overstretched to cater essential health services to the needy people. Let’s ensure equitable access to vaccines, medicines, tools and technologies for the sake of humanity. Reaching out to the unreached should be our priority,” said the Prime Minister of Nepal, Mr Sher Bahadur Deuba, while inaugurating the annual governing body meeting of WHO in the Region.The WHO Director-General, Dr Tedros Adhanom Ghebreyesus, said, “the COVID-19 pandemic continues to take a heavy toll on lives, livelihoods, societies and economies. I am pleased to see a decline in cases and deaths in the South-East Asia region, following the devastating surge in May of this year.  However, the situation varies widely from country to country and place to place, with steep increases and overwhelmed hospitals in some areas…….We must never again allow a pandemic on this scale. And that we must never again allow an injustice on this scale.”Regional Director Dr Poonam Khetrapal Singh said, “covid has taken a massive toll on our health systems. Services have been disrupted and health care workers exhausted. Our challenge is multi-faceted, we have to regain lost ground in terms of health outcomes, rebuild health systems that have lost capacity and we have to do this at a time when government revenues in all countries will be under intense pressure.” The five-day virtual session, attended by Health Ministers and senior health officials of the Member countries of the Region, UN Agencies, partners, donors, and civil society representatives, will deliberate on strengthening public health emergency preparedness and response and accelerating progress for prevention and control of non-communicable diseases, among others health issues.A ministerial roundtable is planned tomorrow on ‘building back better’ the essential health services, hit by the ongoing COVID-19 pandemic, with the aim to achieve universal health coverage. Other key issues to be discussed are regional framework for vaccine action plan, revitalizing school-health, and ending viral hepatitis, HIV and STIs.Progress made by the Region on previous Regional Committee resolutions on measles and rubella elimination by 2023, improving access to essential medical products, and strengthening health systems to accelerate delivery of services for non-communicable diseases at the primary health care level, will also be discussed at the session. Home to one-fourth of the global population but with a disproportionate burden of diseases, the Region has been prioritizing elimination of measles and rubella by 2023, addressing noncommunicable diseases through multisectoral policies and plans, accelerating reduction of maternal, neonatal and under-five mortality, advancing universal health coverage, reversing antimicrobial resistance, scaling-up emergency risk management capacities, eliminating neglected tropical diseases and ending TB."
World AIDS Day,2021-12-01,"By Dr Poonam Khetrapal Singh, WHO Regional Director for South-East Asia On World AIDS Day, the WHO South-East Asia Region joins global calls to End inequalities and End AIDS – the theme of this year’s commemoration. HIV continues to be a major global health issue, having claimed 36.3 million lives globally so far. In 2020, around 680 000 people died from HIV-related causes and 1.5 million people acquired HIV globally. An estimated 38 million people were living with HIV infection. The South-East Asia Region is home to around 10% of all people living with HIV globally, and accounts for 12% of global AIDS-related mortality. Amid the COVID-19 response, the Region continues to take targeted action to maintain essential health services, including to prevent, detect and treat HIV. Today, as we show solidarity with people living with HIV, remember those who have died from AIDS-related illnesses, and express gratitude to those who are working to end AIDS, WHO urges all countries of the Region to intensify action to close remaining gaps, achieve the 95-95-95 targets, and end the inequalities, stigma and discrimination that keep the epidemic alive.The Region has in recent years achieved significant progress against HIV, with all countries committed to achieving Sustainable Development Goal (SDG) 3.3 – by 2030, end the AIDS epidemic as a public health threat. Maldives, Sri Lanka and Thailand have achieved the elimination of mother-to-child transmission of HIV and syphilis. Between 2010 and 2020, the Region reduced annual new HIV infections by 46% and AIDS-related deaths by 64%. An estimated 61% of people living with HIV in the Region are now receiving life-long antiretroviral therapy. However, these and other successes are not uniform across countries and populations. Marginalized populations in particular continue to be underserved. Ending AIDS and associated inequalities – social, cultural and legal – requires high-level political commitment. In 2020, at a WHO-supported high-level meeting of ministers of health from across the Region, countries reiterated their commitment to achieve global and Regional targets and intensify efforts in this Decade of Action to end viral hepatitis, HIV and STIs as public health threats.  To achieve our time-bound targets and goals, several priorities must be addressed. First, recovering lost ground. Despite the Region’s best efforts, COVID-19-related disruptions have impacted access to HIV prevention and testing, whereas access to treatment has for the most part been maintained. To catch up on pre-pandemic progress, key populations must be reached, including through institutionalized community engagement initiatives. Measures to anticipate and mitigate further disruptions must be integrated into emergency preparedness and response plans, not only for pandemics such as COVID-19, but all other hazards. Second, securing sufficient and sustained domestic investments in HIV services, which must be accessible at the primary health care level. Such investments will not only increase equitable access to quality HIV services, but also strengthen health system resilience, complementing Region-wide efforts to build strong PHC-oriented health systems, as emphasized in a landmark resolution adopted at the Seventy-fourth session of the WHO Regional Committee in September 2021.  Third, leveraging high-impact innovations. In pilot studies conducted in several of the Region’s countries, newer tools such as HIV self-testing and pre-exposure prophylaxis have proven immensely valuable. To achieve maximum impact, these and other innovations must be incorporated into comprehensive service packages and rolled out at population level. Fourth, intensifying action to address the epidemic’s non-biomedical aspects, including legal and policy domains. In our Region and across the world, stigma, discrimination and other structural determinants and inequalities continue to impede progress, deepening health and social inequities, and obstructing sustainable social and economic development.Action is needed, and now. To facilitate progress in this Decade of Action, the Region will soon launch a new integrated Regional Action Plan for viral hepatitis, HIV and STIs (2022–2026), which will be aligned with forthcoming global health sector strategies on HIV, viral hepatitis and STIs, as well as the SDGs. The Plan will be accompanied by a Regional accountability framework, which will track WHO and country actions to achieve the 2025 interim targets and the 2030 goals, and will prioritize efforts to enhance community ownership, action and engagement. Together, we can and must succeed. On World AIDS Day, WHO reiterates its commitment to support all countries of the Region to end inequalities and end AIDS, leaving no one behind."
World Antimicrobial Awareness Week,2021-11-18,"By Dr Poonam Khetrapal Singh, WHO Regional Director for South-East Asia  To mark this year’s World Antimicrobial Awareness Week (WAAW), WHO is calling on countries in the South-East Asia Region and across the world to intensify whole-of-government, whole-of-society approach to prevent and combat antimicrobial resistance (AMR), one of the Region’s eight Flagship Priorities. Globally, AMR is responsible for around 700 000 deaths annually and impacts progress towards at least four of the 17 Sustainable Development Goals (SDGs), including good health and well-being, reduced inequality, clean water and sanitation, and no poverty. According to World Bank estimates, by 2050, unless urgent action is taken, AMR is expected to cause at least 10 million deaths annually and cause a 3.8 percent reduction in annual gross domestic product (GDP). AMR could force 24 million more people to extreme poverty by 2030. The world’s poorest people –those living in low- and middle-income countries are disproportionately vulnerable. The message of this year’s WAAW – “Spread Awareness, Stop Resistance” – could not be more urgent.All countries of the Region continue to take targeted action to prevent and combat AMR, in line with the Region’s Flagship Priority, the Global Action Plan on AMR, and the health-related SDGs.All Member States are implementing national action plans to address AMR, and most have established a national multisectoral committee on AMR, in addition to a multisectoral AMR working group.Amid the COVID-19 response, the Region has achieved full participation in the Global Antimicrobial Resistance Surveillance System, and remains the only WHO Region in which all countries carry out the annual Tripartite AMR Country Self-Assessment Survey.  Increasing multisectoral awareness and action is critical to prioritizing action at the human-animal-environment interface – what is known as the “One Health” approach. The Global Tripartite between WHO, the Food and Agriculture Organization of the United Nations (FAO) and the World Organization for Animal Health (OIE), joined more recently by the United Nations Environment Programme (UNEP), is responsible for promoting, coordinating and facilitating One Health activities across the world, based on the Global Framework for Development & Stewardship to Combat Antimicrobial Resistance Roadmap. In all countries of the Region, commitment to strengthen implementation of One Health activities continues to grow, reflected most recently in September 2021, at a bi-regional meeting on increasing responsible and prudent use of antimicrobial agents in agriculture, and in July 2021, at a meeting of the Technical Advisory Group on the Asia Pacific Strategy for Emerging Diseases and Public Health Emergencies.To sustain and accelerate momentum, several priorities must be addressed. First, strengthening awareness among general public and other stakeholders such as those working on human, animal, plant and environmental health promoting rational use of antibiotics and discouraging irrational self-medication which is seen more so during COVID-19 pandemic Community-based initiatives targeting households, workplaces etc. must promote awareness and responsible action on how to prevent AMR. Similarly, capacity-strengthening initiatives for healthcare workers must continue to emphasize the judicious use of medicines and Infection Prevention and Control. Second, AMR cannot be addressed by one or two sectors working in isolation. National committees, task forces and working groups must have in place clear annual plans and coordination mechanisms with specific roles and responsibilities. Third, amid intense fiscal pressures, increased domestic allocations are required.. Fourth,  use of data, coupled with Operational Research on specific aspects of AMR in country contexts, must guide programmatic adaptations.So much is at stake. AMR threatens to send us back to a time when we could not easily treat common infections. It is already making health care more costly, less efficient, causing avoidable morbidity and mortality, and exacerbating health, social and economic inequities. Throughout the COVID-19 response, all countries of the Region must continue to prevent and combat AMR, and accelerate progress towards our Flagship Priorities and the health-related SDGs. As we commence this seventh World Antimicrobial Awareness Week, WHO re-affirms its commitment to support all countries of the Region to spread awareness, stop resistance."
World Patient Safety Day,2021-09-17,"By Dr Poonam Khetrapal Singh, WHO Regional Director for South-East Asia The WHO South-East Asia Region continues to accelerate action to enhance patient safety and ensure access for all to safe maternal and newborn care – the theme of this year’s World Patient Safety Day. Globally, every year, an estimated 134 million adverse events due to unsafe care occur in hospitals in low- and middle-income countries, contributing to around 2.6 million deaths. Approximately 810 women die every day from preventable causes related to pregnancy and childbirth, in addition to around 6700 newborns. An estimated 2 million stillbirths occur annually, over 40% of them during labour. In the Region and across the world, most stillbirths and maternal and newborn deaths could be avoided through the provision of safe and quality care by skilled health professionals working in supportive environments. The Region has in recent years applied targeted action to enhance patient safety, in line with its Flagship Priority on achieving universal health coverage (UHC) and the Region’s Strategy for Patient Safety 2016–2025, in addition to the recently adopted Global Patient Safety Action Plan 2021–2030. Most countries of the Region continue to implement a national patient safety or quality strategy. Several countries have in place administrative structures tasked with ensuring health-care quality and safety. Policy makers, programme managers and facility administrators in all countries of the Region continue to incorporate patient safety into disease-specific and clinical programme areas, including to accelerate reductions in maternal, newborn and child mortality – another of the Region’s Flagship Priorities. Four countries of the Region have achieved the 2030 neonatal mortality rate target of 12 per 1000 live births or lower. Six countries have achieved the 2030 stillbirth rate target of 12 per 1000 total births. Two are on track to achieve the 2030 maternal mortality rate target. Amid the COVID-19 response, WHO continues to support Member States of the Region to maintain and strengthen essential health services, including for maternal and newborn care. In the Region and globally, the pandemic has exposed gaps in patient and health worker safety, highlighting the need for policy makers and facility administrators to strengthen best practices at the point of care to prevent avoidable risks, improve the quality and safety of frontline services, and enhance resource utilization. Adequate infection prevention and control, access to hand hygiene facilities, adequate water, sanitation and hygiene, strong antimicrobial stewardship, health workers who are trained in and observe safety protocol – these and other interventions are required to increase patient safety and accelerate progress towards full implementation of the Regional and global strategies.  On maternal and newborn care specifically, WHO is calling on stakeholders to increase uptake of evidence-based interventions with point of care quality improvements, particularly during childbirth, with a focus on several priorities. First, fostering respectful care for safe delivery. Every woman has the right to a positive birth experience and to be treated with dignity and respect by facility staff regardless of background, health, or social status. Second, ensuring appropriate use of drugs and medical products during childbirth, including blood and injection safety. In all countries of the Region, WHO guidance on intrapartum care, essential newborn care, advanced newborn care, and emergency obstetric and newborn care must be harnessed and applied to maximum effect. Third, continued commitment to improve quality of care, including through the Region’s Point of Care Quality Improvement Model. All adverse events must be reported, and corrective measures applied. Fourth, ensuring health workers are well trained and well equipped to provide safe care, for which knowledge-sharing and collaboration are essential, with a focus on strengthening the midwifery cadre and enhancing access to quality emergency obstetric services. Not a second can be spared. In all countries of the Region, the COVID-19 crisis has increased fiscal challenges, underscoring the need to obtain maximum health system efficiency with allocated funds. On medication errors alone, the world loses an estimated US$ 42 billion annually, excluding lost wages, productivity, or health care costs. In low- and middle-income countries, unsafe and poor-quality care leads to a US$ 1.4 trillion to 1.6 trillion loss in productivity every year. Inaction is neither affordable nor sustainable. On World Patient Safety Day, WHO reiterates its commitment to support all countries of the Region to eliminate avoidable harm in health care, to strengthen health service delivery, and to achieve universal health coverage – because all people have a right to safe, dignified and respectful care."
World Sight Day,2021-10-14,"By Dr Poonam Khetrapal Singh, WHO Regional Director for South-East Asia  On
World Sight Day, WHO is calling on countries in the South-East Asia Region and
across the world to ensure access for all to quality eye care services.
Globally, at least 2.2 billion people have a vision impairment. At least 1
billion people have a vision impairment that could have been prevented or is
yet to be addressed. Vision impairment affects people of all ages, but
especially those over the age of 50. Despite comprising around a quarter
of the world’s population, the Region accounts for 30% of global blindness and
32% of visual impairment. Ageing populations and increased prevalence of
noncommunicable diseases (NCDs) such as diabetes could exacerbate eye health
issues in the years to come. To avoid that outcome, WHO continues to support
all countries of the Region to achieve access for all to quality eye care
services, and to advocate for society-wide buy-in to the “4 Ps” of life-long
eye health – Prevent, Protect, Preserve and Prioritize.The Region has in recent years accelerated action to strengthen the quality and
reach of eye care services, in line with its Flagship Priorities on achieving
universal health coverage (UHC), preventing and controlling NCDs, and
eliminating neglected tropical diseases and other diseases on the verge of
elimination. In 2018 Nepal eliminated trachoma, followed by Myanmar in 2020.
Bhutan has achieved eye care coverage of 99.7% and eye care coverage among
school children is 99.5%. Eyeglasses are provided free of charge to all who
need them. Four countries of the Region – Bhutan, India, Maldives and Thailand
– have piloted WHO’s Revised Eye Care Service Assessment Tool, which focuses on
integrating eye care programmes into services at the primary, secondary and
tertiary levels. New WHO guidance on strengthening diagnosis and treatment of
diabetic retinopathy continues to be rolled out, alongside Region-wide efforts
to increase access to assistive technology. In November 2021, a three-day
ministerial meeting will be held to strengthen high-level buy-in to achieve
access for all to quality eye care services, with a focus on leaving no one
behind.  In all countries of the Region, accelerated action is needed, and now. In May
2021, at the Seventy-fourth World Health Assembly, Member States adopted two
new global targets for eye care by 2030: first, a 40% increase in effective
coverage of refractive errors; and second, a 30% increase in effective coverage
of cataract surgery. The targets are intended not only to increase global eye
care coverage, but also to strengthen the quality of the eye care services
delivered. Importantly, the targets are aligned with and reflect the global and
regional pursuit of UHC and the need to integrate eye care programmes with
existing services, especially at the primary level. Cataract surgery coverage
is a strong indicator of eye care service provision. At present, it shows
marked variation by income. By strengthening eye care services at the primary
level, all countries of the Region can preserve or bring sight to millions of
people, achieving rapid and sustained progress towards our Flagship Priorities
and the 2030 targets.We can all take action. Many eye diseases can be prevented by eating a healthy
and balanced diet, and by partaking in regular and adequate physical activity.
These and other healthy habits help maintain a healthy weight, control obesity,
and prevent diabetes, all of which can impact eye health. It is equally
important to protect eyes from workplace accidents, severe sunlight, harmful
radiation and prolonged exposure to screens. For every 20 minutes of screen
time, look at something 20 or more feet away for 20 seconds. Regular and
comprehensive eye examinations carried out at recommended intervals are
essential for eyesight preservation. Maintaining eye health is a key part of healthy
ageing, ensuring all older people can be and do what they value. Together, we
must prioritize eye health at all stages of life, not only for ourselves, but
for our family and friends, and the wider community.The Region must sustain and accelerate momentum. Vision impairment and
blindness can have major and long-lasting effects on all aspects of life,
including school and work opportunities, and the ability to access public
services. They compromise social and economic development and impact the life-outcomes
of hundreds of millions of people in the Region, and billions of people
globally. Amid the COVID-19 response, countries of the Region are committed to
achieving a social and economic recovery that is fairer, healthier, more
resilient and sustainable, towards which increased access to quality eye care
services will contribute. On World Sight Day, WHO reiterates its commitment to
support all countries of the Region to achieve access for all to quality eye
care services – a vision that is our duty to achieve."
World Stroke Day,2021-10-28,"By Dr Poonam Khetrapal Singh, WHO Regional Director for South-East Asia  The
WHO South-East Asia Region is committed to strengthening health care services
to prevent, treat and manage stroke, and to provide quality rehabilitative care
for stroke-related disability. Globally, stroke is the second leading cause of
death and the third leading cause of disability. One in four people are in
danger of stroke in their lifetime. Lifestyle risk factors for stroke include
being overweight or obese, physical inactivity, tobacco use and alcohol abuse.
Medical risk factors include high blood pressure, high cholesterol, diabetes
and a personal or family history of stroke or heart attack. An estimated 70% of
strokes occur in low- and middle-income countries, which also account for 87%
of stroke-related deaths and disability-adjusted life years. To help address
this inequity, WHO continues to support all countries of the Region to identify
and apply “best buy” interventions that reduce the risk of stroke, and which
strengthen access for all to quality stroke services.The Region has in recent years achieved significant progress on its Flagship
Priorities on preventing and controlling noncommunicable diseases (NCDs) and
achieving universal health coverage, both of which are critical to Region-wide
efforts to prevent, treat and manage stroke, and to increase access to
rehabilitative care. All countries of the Region continue to implement
multi-sectoral NCD action plans, while also expanding the provision of NCD
services at the primary level, in line with the 2016 Colombo Declaration.
Several countries continue to lead globally on tobacco control efforts, with
India, Nepal, Maldives Thailand and Timor-Leste among the world’s top 10
countries with the largest graphic warnings on tobacco packaging. Amid the
pandemic response, the Region continues to promote healthy lifestyles,
including by facilitating physical activity and healthy eating, and by tackling
harmful use of alcohol and substance abuse. Increased taxation of unhealthy
products will not only change unhealthy behaviours, but could also enhance budgetary
allocations on health, including on services to prevent, detect, treat and
manage stroke and other NCDs.    By the end of this year, the Region will have completed the second year of its
multi-country support for stroke care improvement initiative. The programme
aims to support countries to strengthen stroke management and referrals through
the development and training of multidisciplinary teams consisting of doctors,
nurses and rehabilitation therapists. During the first year of implementation,
which started in April 2021, Bhutan, Maldives, Myanmar and Timor-Leste
participated in the care improvement programme, which has since been expanded
to Nepal and Sri Lanka. In all countries of the Region, several interventions can be applied to achieve
immediate progress in strengthening stroke care services. First, integrating
stroke prevention and detection into preventive and promotive health
interventions, especially at the primary level. Community intervention,
e-health and appropriate medication and lifestyle modification can prevent at
least 50% of stroke events. Alongside increased public literacy in the FAST
method (Facial
drooping, Arm
weakness, Speech
difficulty and Timely
emergency service) they can significantly reduce the incidence and impact of
stroke. Second, strengthening existing pathways of care from the primary level
up, and through to rehabilitation, ensuring that gaps are identified and
addressed using a hub and spoke model. Specific focus is needed to improve
fast-track referrals and enhance emergency stroke services. Third, making
essential stroke medicines accessible to all. Thrombolytic medicines and other
medicines for stroke are now included in WHO’s Essential Medicines List and
should be integrated into national lists. Fourth, identifying and implementing
high-impact innovations. Virtual capacity building in particular holds great
promise, alongside tele-networking within and between countries to improve
skills and share knowledge and resources. Every opportunity must be grasped. Stroke is a leading source of disability and
a major contributor to lost disability-adjusted life years, especially in low-
and middle-income countries. It is a needless impediment to sustainable social
and economic growth. Amid the ongoing COVID-19 response, countries of the
Region must leverage every chance possible to improve health and well-being,
increase health system efficiency, and promote social and economic empowerment
and growth. On World Stroke Day, WHO reiterates its commitment to support countries
of the Region to strengthen stroke care services to reduce incidence, enhance
detection, improve treatment, and increase access to quality rehabilitative
services. A fairer, healthier more sustainable Region is ours to achieve."
